"permno","gvkey","companyid","keydevid","actdate","announcedate","ri30","ri60","ri182","ri365","sri30","sri182"
91103,"010795",309845,383420373,2016-11-15,2016-09-09,-0.000568070380714287,-0.00128405047571429,0.0031862257565873,0.00460990865785711,-0.0431274120642139,0.0398728852989826
91103,"010795",309845,640618024,2020-03-05,2019-10-15,0.107509526164881,0.155289872916429,0.21681730811554,0.277880844728829,1.27877320754687,0.425099305672971
17929,"010801",190756,576643160,2010-10-19,2010-10-21,-0.00147324153690476,-0.0026331424547619,-0.00288161699273809,-0.00464508341696428,-0.356020689844379,-0.114785599196672
17929,"010801",190756,215237828,2012-10-17,2012-08-07,-0.000160612585357143,-0.00237927296,0.0033901369272381,0.00734384506571426,-0.0290487250513065,0.101068218229626
17929,"010801",190756,275111088,2014-11-06,2014-10-22,0.0639956593826191,0.0155215821083333,0.0332513807851587,0.0577292343501587,8.51403299056841,0.729196140881394
17929,"010801",190756,409233686,2016-12-08,2016-11-10,8.24889930952369e-05,0.000441232843333333,0.00755949835227778,0.0113095355417262,0.0169577918164358,0.256162846404819
17929,"010801",190756,592926109,2018-12-04,2018-11-27,NA,NA,NA,NA,NA,NA
17929,"010801",190756,696852957,2020-12-07,2020-12-03,-0.00154469828666667,-0.00294386936880953,0.00399808318619046,0.00880889774287693,-0.114411130047886,0.0488119663393433
17929,"010801",190756,715881297,2021-06-21,2021-05-21,-0.00739745885690477,-0.00652289814595239,-0.00850774078947621,-0.0139142643785119,-1.13865582255493,-0.215860922703837
17929,"010801",190756,1686430070,2021-12-02,2021-10-28,0.00490960083345238,0.00852586386690476,-0.00369756654126985,-0.0147435569615873,0.608085986320373,-0.0754891744567848
78044,"010839",190965,576402604,2018-11-15,2018-08-02,0.0322095941141667,0.0631133537947619,0.0981972755476666,0.118960141505774,0.561127256812236,0.281984617804029
78044,"010839",190965,1686095094,2022-02-16,2021-10-25,0.0148610045526191,-0.0163080196178571,-0.0777504090903571,-0.153833214491409,0.265825045043905,-0.229245214449337
24985,"010860",373264,585785057,2014-12-16,2014-12-15,0.00690394493642857,0.0146339826240476,0.00153653717757935,-0.0100458825358929,0.464011181245439,0.0170225283609624
48725,"010867",310078,216323105,2012-10-30,2012-08-30,-0.000272988211547618,-0.000236241420238093,-0.000937357916960304,0.000259478457837284,-0.0531339180430821,-0.03007345096492
48725,"010867",310078,274103920,2014-11-05,2014-10-08,-0.000322314503214285,-0.000763840495238093,0.00013531504961905,0.00289964851238096,-0.0642660963144961,0.00444731652781628
48725,"010867",310078,543164472,2018-05-31,2017-11-09,-0.00286369450702381,-0.00446550032452381,-0.0059293799179365,-0.0105868922961905,-0.425293172676384,-0.145151279793576
48725,"010867",310078,711356860,2021-05-04,2021-04-15,-0.00022715451142857,-0.000492147830238089,-0.000938741031119035,-0.00143595402291668,-0.0386543487311893,-0.0263313218363432
92655,"010903",104673,576620176,2010-11-30,2010-11-29,-0.00137799452583333,-0.00233793999952382,-0.00205167763477779,-0.00109254767388888,-0.110060849297637,-0.0270112298453788
92655,"010903",104673,137660703,2011-11-29,2011-07-19,-0.0081081438222619,-0.0151749957042857,-0.0265151921653175,-0.0425842264706348,-0.599084348176899,-0.322932069192941
92655,"010903",104673,252483059,2013-12-03,2013-12-02,-0.00318107112761905,-0.00243243617166667,-0.00209694129011905,-0.00107214419873018,-0.789227589682578,-0.0857560990065606
92655,"010903",104673,274647780,2014-12-02,2014-10-16,-0.000174673108214284,0.000435812388571432,0.00199578358895238,0.00432805019553573,-0.050116361164149,0.0943880026090474
92655,"010903",104673,317308608,2015-12-01,2015-11-19,-0.00152262934321428,-0.00251930239809524,-0.00218342113574604,-0.00541180430412697,-0.235446965675464,-0.0556527051932863
92655,"010903",104673,405128766,2016-11-29,2016-10-18,-0.000745221161428571,0.000364795193571428,-0.000367285374984135,-0.00595366450402778,-0.147657253051752,-0.0119956312853013
92655,"010903",104673,544362307,2017-11-28,2017-11-20,-0.00101657624261904,-0.000732787191904757,0.000834371058658731,0.000985867154623023,-0.297301441647954,0.0402222311436912
92655,"010903",104673,586922961,2018-11-27,2018-10-16,-0.00236041018892857,-0.00287158632142857,-0.00698717374293651,-0.0115606470513293,-0.370909944008291,-0.180980759093399
92655,"010903",104673,641582192,2019-12-03,2019-10-24,-0.00163090886809524,-0.00114817377690476,-0.0012592028986111,-0.00436936673121029,-0.323562861669976,-0.0411788823419501
92655,"010903",104673,1759375382,2021-11-30,2021-11-23,-0.00210555973619047,-0.0010051110497619,0.001097231379373,0.00343130563142856,-0.213282881288816,0.0183204660768954
92655,"010903",104673,1816025745,2022-11-29,2022-11-22,-0.00191352022261905,-0.00259872283952381,-0.0064007316036746,-0.00482808467380954,-0.3217556388298,-0.1774077524109
78829,"010916",310364,235486599,2013-04-25,2013-04-09,0.00077959103261905,0.00465822179833334,0.0120077321125,0.000518297149384906,0.0820757037595277,0.208381249345084
78829,"010916",310364,323564883,2016-05-19,2016-01-27,0.0205931209666667,0.00759610539880951,0.0060853755639762,0.000905777726369055,1.5378906283287,0.074910126900751
87447,"010920",238570,712788412,2021-06-09,2021-04-27,-0.00174552286845238,0.000198663040476192,-0.000909992579063489,0.00402007921261906,-0.248685186137444,-0.0213703723940254
78960,"010930",412382,585786620,2015-03-12,2015-03-10,1.27272374465726,1.10855396386119,1.07695138772886,0.751329511876905,0.692460889667135,0.0965844185633586
17830,"010983",159230,318160223,2015-12-10,2015-11-30,0.00183131419619048,0.00341006845904762,0.00522805895266667,0.00538489451761905,0.458530583310373,0.215772348538697
17830,"010983",159230,553627034,2018-03-16,2018-02-21,-0.000168104425357146,0.00029595047119047,0.00161309268083333,0.00239493987166668,-0.0269358869863715,0.0426050738283243
17830,"010983",159230,711225309,2021-05-18,2021-04-13,0.00079567286690476,0.00175810596238095,-0.00204119288150796,-0.00672477833970241,0.103760521838879,-0.0438764528882273
79338,"010991",25304,84290652,2010-01-21,2010-01-13,-0.00745253591214285,-0.00621905125285713,0.00340126438742065,0.0150674795986707,-0.606144356082309,0.045599727445314
79338,"010991",25304,1773054454,2022-05-17,2022-03-01,0.0131474038802381,0.0341413843319048,0.0236780484067461,0.0234028889722421,0.148069779131019,0.0439564079159646
43553,"011060",191328,118176070,2011-01-13,2011-01-12,9.12145771428586e-05,-0.00079837402309523,-0.00752044980250001,-0.0150539844222222,0.0123767415232814,-0.168203781627735
43553,"011060",191328,241348914,2013-06-11,2013-06-05,0.00146787000976191,0.00130101834333334,0.00162096869185715,0.00176038123236111,0.201862431385643,0.0367445045582079
43553,"011060",191328,271788640,2014-09-17,2014-09-05,-0.00189474001047619,-0.0021597976102381,-0.0020673680711746,-0.00231109859303571,-0.591035656802166,-0.106299623849569
43553,"011060",191328,424316534,2017-03-30,2017-03-23,-0.00203252258821428,-0.00391549181642856,-0.00650716217940476,-0.00350245165196429,-0.267199006117629,-0.141007091687512
43553,"011060",191328,579472525,2018-09-12,2018-08-30,-0.00427651611285714,-0.005204382535,-0.00727024222448412,-0.0104284044368254,-0.756267085047914,-0.211925801190762
43553,"011060",191328,637479174,2019-09-25,2019-09-18,0.00116724271880952,9.66476623809483e-05,0.00213028905963491,0.00941823034351191,0.102117316349624,0.0307203828125228
43553,"011060",191328,1791116204,2022-09-28,2022-07-13,0.0151045845332143,0.0251425431128571,0.0386717950190079,0.0445145582529366,0.403131518374563,0.170130495956245
80128,"011094",163111,326656802,2016-02-25,2016-02-25,0.000788892202857147,0.00137804278571429,0.000127323157500004,-0.00277259391269841,0.078744851064901,0.00209489263151054
80128,"011094",163111,551987104,2018-03-06,2018-02-06,-0.000800094022738094,-0.00227545951380952,-0.00179869198236506,-0.00404024225865081,-0.0714310910910898,-0.0264699379661662
80128,"011094",163111,711456820,2021-05-20,2021-04-15,-0.00272720169261906,-0.00408020368880954,-0.00112050225799206,0.000861784101369078,-0.255185518978992,-0.0172822932806328
81116,"011124",338943,1679131321,2021-09-09,2021-08-24,-0.00418168800392858,-0.00141710319928573,-0.000321144600476233,0.00997313700142855,-0.247902150750672,-0.00313818945599792
15202,"011228",312769,285671598,2015-02-25,2015-02-20,-0.00251054435869048,-0.00290620085571429,-0.0053597933106746,-0.0103760050869048,-0.388139573194588,-0.136589694521289
15202,"011228",312769,402857612,2016-09-29,2016-09-26,-0.00291554042785714,-0.00345489479571429,-0.00357916264309523,-0.00260490467960322,-0.390069156375306,-0.0789321338757516
15202,"011228",312769,1801022345,2022-09-29,2022-09-19,-0.00171695322833333,-0.00100453743214285,0.00113617533527779,0.00570722625571432,-0.112903423213652,0.0123152680522982
66376,"011313",313461,314624242,2015-12-18,2015-10-19,-0.000756271239761905,0.00487459615285714,0.0057915042732619,0.0114209943824603,-0.111260745255976,0.140444788225343
66376,"011313",313461,411575727,2016-12-09,2016-11-30,-0.00166225620642857,0.00106652785380953,0.00446654438677777,0.0106755733848214,-0.349500479704182,0.15480013458647
66376,"011313",313461,552262968,2018-05-18,2018-02-08,-0.00199265885178571,-0.00397198369523809,-0.00701301896456349,-0.0133802890326389,-0.483165843076367,-0.280296807941027
62498,"011376",313784,104437751,2010-05-06,2010-04-26,0.000712284626309517,0.00135404066119046,0.00517046830249998,0.0105049821945833,0.0932303930795146,0.111553625970694
62498,"011376",313784,206616188,2012-05-23,2012-05-10,0.000297116376547617,0.00106120113666666,0.00777635210877777,0.0114165751188095,0.0438982800965113,0.189385488671823
62498,"011376",313784,263194532,2014-05-22,2014-05-02,-0.00311260554226189,-0.00758461551309521,-0.00233640392654762,-0.00861130601323411,-0.184480279905322,-0.0228256764356083
62498,"011376",313784,321964067,2016-03-10,2016-01-12,0.00190027020309524,0.00495870089761905,-0.000164779790976188,-0.00908925004886904,0.175428340287144,-0.00250748423034818
66384,"011399",314057,183827262,2012-09-13,2012-04-05,-0.000580099600476193,-0.00205960896761905,0.00180758127607143,0.0047973690930952,-0.0224588523840427,0.0115354009664958
66384,"011399",314057,343222627,2016-12-06,2016-05-26,-0.00343549637142858,-0.00655067753904762,-0.0111038327384127,-0.0182331840588293,-0.200639030261766,-0.106892861663793
66384,"011399",314057,589287353,2018-12-04,2018-10-25,NA,NA,NA,NA,NA,NA
66384,"011399",314057,1775436114,2022-05-10,2022-03-23,0.00416980657392859,0.00596950560500002,0.0126339555063889,0.0143940020661111,0.107550076615868,0.0537135707543583
25419,"011465",314515,115088356,2010-11-02,2010-10-28,-0.00363443341285715,-0.00586972452738096,-0.00976479330564289,-0.015885727357123,-0.192354766301133,-0.0851881441614426
25419,"011465",314515,275416165,2014-12-17,2014-10-28,-0.00300732608047619,-0.00382960923595239,-0.00450644745211905,-0.000800249529821452,-0.358149842723038,-0.0884643767516319
25419,"011465",314515,428441130,2017-05-04,2017-04-21,7.20379170238088e-05,0.000619197019047619,0.000595119202468246,0.00158673117523808,0.0192451238864387,0.0262067638238865
25419,"011465",314515,600096258,2019-05-23,2019-01-28,0.00118863771523809,0.00272163393214286,0.00798545200488094,0.0149290393130159,0.125315450850371,0.138772842859835
82924,"011499",314242,576716315,2010-09-23,2010-09-27,-0.000888526379999998,-0.000850748764761902,-0.001148384056,-0.00168328187188492,-0.159714244622921,-0.0340259568056337
82924,"011499",314242,140836333,2011-09-23,2011-09-22,0.00359269705678571,0.00738905443857142,0.00268124390323016,0.00650639852071432,0.334467649065343,0.0411452502534837
82924,"011499",314242,222412702,2012-09-28,2012-09-28,0.00496324198357143,-9.15080328571364e-05,-0.00180930041287301,-0.00355908309549603,0.619791285215293,-0.0372426490570599
82924,"011499",314242,252941949,2013-09-27,2013-09-25,0.00201042521107143,0.00210121951071429,-0.00435086584452379,-0.00894515738674602,0.439755280971945,-0.156873180228309
82924,"011499",314242,415490740,2017-01-13,2017-01-07,NA,NA,NA,NA,NA,NA
82924,"011499",314242,620545227,2019-10-04,2019-06-11,0.0096294576222619,-0.00834403334333332,0.0115371635621667,0.0214022808740278,0.346764607253445,0.0684828545607203
82924,"011499",314242,718132978,2021-10-29,2021-06-10,-0.000657566487857132,-0.00130601742809522,0.00793766721964286,0.0224152646600199,-0.0351495685708308,0.0699395898766434
38156,"011506",390225,585785256,2010-01-19,2010-01-19,-1.95229026190443e-05,-0.00219195802404761,-0.00428194932654758,-0.0079861398762699,-0.0017565463615489,-0.0635048097154122
38156,"011506",390225,104817529,2010-05-11,2010-05-05,-0.00899895798535716,-0.0188277964671429,-0.0385857738649445,-0.0679581977466667,-0.352861329240583,-0.249395678102224
38156,"011506",390225,585785257,2011-09-20,2011-09-16,-0.00205150286678572,0.00572703662142856,0.0217145178111667,0.0886277971947023,-0.100535323377986,0.175406873514869
38156,"011506",390225,204862754,2012-05-22,2012-04-25,-0.00250362205428571,-0.00408677317142855,-0.00849610052840474,-0.019785662196131,-0.148509509747758,-0.0830720647672462
38156,"011506",390225,237164870,2013-05-21,2013-04-22,-0.00245087940047619,-0.00190893457309524,0.00123690830279364,0.00333445103124999,-0.517574692575641,0.0430564741198042
38156,"011506",390225,262004659,2014-05-14,2014-04-14,-0.000227925043928572,-0.000181422937380952,-0.00356396659785714,-0.00631402047714283,-0.0417375846243261,-0.107576833622329
38156,"011506",390225,291918594,2015-05-13,2015-04-20,-0.000238045993333334,-0.000543752024761905,-0.00131865653924603,-0.00416857697920635,-0.0333306393597204,-0.0304343708293205
38156,"011506",390225,427580214,2017-05-11,2017-04-12,0.00152022152916667,0.00327332525761905,0.00290384171230157,0.00389910539279764,0.200238367264683,0.0630468253204443
38156,"011506",390225,559483000,2018-05-17,2018-04-17,-0.00120817568761905,-0.0018166033752381,-0.00501230515911112,-0.0138843807947619,-0.117260688779588,-0.0801880623447676
38156,"011506",390225,642801877,2019-12-05,2019-10-30,-0.00233035829309524,-0.00321666659952381,-0.00302389716664287,-0.00547832453894845,-0.301361170718701,-0.0644586907496058
38156,"011506",390225,1769669699,2022-02-22,2022-02-02,0.00284284730833333,0.00321587951023809,0.00851068247710314,0.00581961936041664,0.26610624939502,0.131315440379848
51086,"011537",314960,541806437,2017-11-02,2017-10-26,0.000434857618452375,0.00277443295238094,0.00821196894174604,0.0199946738851389,0.0314395493436557,0.0978647732180106
51086,"011537",314960,639157268,2019-11-06,2019-10-02,0.00221748482523808,0.00111607791547617,0.0109149706386666,0.0199026615402975,0.086002761278742,0.0697789093794591
51086,"011537",314960,1800238687,2022-11-15,2022-09-11,0.00880983623607141,0.0102478329721428,0.0133053395569762,0.0531266037972816,0.318640852472908,0.0793248845887249
23536,"011550",315117,576716451,2010-03-26,2010-03-29,-0.000923030776428573,-0.000567655925000002,-0.00154686193246825,-0.00301689435261904,-0.358443188350424,-0.0990160434250491
58819,"011554",312949,576715363,2010-09-01,2010-09-01,-0.00153886634964286,-0.00305794489357143,-0.00331600679445238,-0.00792378238041667,-0.236332075350083,-0.0839434944213627
